,ID radar,range,bearbing,timestamp,h?p nh?t,length,lat ,lon,lat_new,lon_new,,,,,,
Radar,1004,16382.4,1.18127,61659283,1,99574187920,,,20.76198592,106.9250417,,,,,,
Radar,1004,16380.8,1.1811,61669311,1,99574187917,,,20.7620036,106.9250174,,,,,,
Radar,1004,16377.2,1.18262,61679284,1,99574187920,,,20.7617844,106.925076,,,,,,
Radar,1004,16373.6,1.18247,61689285,1,99574187917,,,20.76179258,106.9250351,,,,,,
Radar,1004,16375.8,1.18164,61699297,1,99574187920,,,20.76191305,106.9250052,,,,,,
Radar,1004,16371.8,1.1814,61709289,1,99574187922,,,20.76193207,106.9249553,,,,,,
Radar,1004,16366.6,1.18351,61719320,1,99574187925,,,20.76162722,106.9250347,,,,,,
Radar,1004,16376.1,1.18662,61729302,1,99574187940,,,20.76123556,106.9253032,,,,,,
Radar,1004,16376,1.18442,61739304,1,99574187920,,,20.76153514,106.9251723,,,,,,
Radar,1004,16379.6,1.18457,61749297,1,99574187920,,,20.76152688,106.9252132,,,,,,
Radar,1004,16376.8,1.18314,61759301,1,99574187920,,,20.76171222,106.9251034,,,,,,
Radar,1004,16377.3,1.18173,61769321,1,99574187920,,,20.76190591,106.9250239,,,,,,
Radar,1004,16375.3,1.18041,61779302,1,99574187922,,,20.76207871,106.9249272,,,,,,
Radar,1004,16377.2,1.18139,61789305,1,99574187920,,,20.76195185,106.9250027,,,,,,
Radar,1004,16376.4,1.18054,61799311,1,99574187920,,,20.76206478,106.9249448,,,,,,
Radar,1004,16374.6,1.18097,61809316,1,20,,,20.76200013,106.9249545,,,,,,
Radar,1004,16372,1.17969,61819301,1,62,,,20.76216534,106.9248548,,,,,,
Radar,1004,16375.1,1.17948,61829325,1,20,,,20.76220451,106.9248697,,,,,,
Radar,1004,16377.5,1.17967,61839321,1,22,,,20.76218689,106.9249024,,,,,,
Radar,1004,16378.6,1.17965,61849335,0,0,,,20.76219338,106.924911,,,,,,
Radar,1004,16375.1,1.17925,61859325,1,20,,,20.76223579,106.9248559,,,,,,
Radar,1004,16367,1.17955,61869339,1,30,,,20.76216725,106.924802,,,,,,
Radar,1004,16369.5,1.18084,61879336,1,25,,,20.7620004,106.9249014,,,,,,
Radar,1004,16368,1.18116,61889339,1,20,,,20.76195176,106.9249072,,,,,,
Radar,1004,16371.6,1.18079,61899330,1,17,,,20.76201438,106.9249171,,,,,,
Radar,1004,16374.3,1.18046,61909345,1,20,,,20.76206849,106.9249214,,,,,,
Radar,1004,16375.2,1.18016,61919331,1,22,,,20.76211238,106.9249114,,,,,,
Radar,1004,16377.9,1.18019,61929342,1,20,,,20.76211753,106.9249372,,,,,,
Radar,1004,16379.7,1.17994,61939335,1,20,,,20.7621577,106.9249382,,,,,,
Radar,1004,16379.5,1.17975,61949330,1,22,,,20.76218286,106.924925,,,,,,
Radar,1004,16379.1,1.17962,61959339,1,17,,,20.76219917,106.9249137,,,,,,
Radar,1004,16379.6,1.17954,61969349,1,20,,,20.76221177,106.9249133,,,,,,
Radar,1004,16359,1.17826,61979342,1,85,,,20.76231504,106.9246536,,,,,,
Radar,1004,16349.5,1.1777,61989339,0,0,,,20.76235838,106.9245357,,,,,,
Radar,1004,16364.6,1.17839,61999349,1,17,,,20.76231663,106.9247111,,,,,,
Radar,1004,16372.2,1.17903,62009349,1,22,,,20.76225575,106.924817,,,,,,
Radar,1004,16373.3,1.17918,62019350,1,17,,,20.76223913,106.9248358,,,,,,
Radar,1004,16380.8,1.1812,62029365,1,20,,,20.76198999,106.9250233,,,,,,
Radar,1004,16370.2,1.17955,62039355,1,35,,,20.76217821,106.9248304,,,,,,
Radar,1004,16372.1,1.17961,62049357,1,22,,,20.76217656,106.9248509,,,,,,
Radar,1004,16374.6,1.17964,62059367,1,17,,,20.76218104,106.9248749,,,,,,
Radar,1004,16367.4,1.17963,62069379,1,32,,,20.76215774,106.9248104,,,,,,
Radar,1004,16361,1.17764,62079364,1,70,,,20.7624061,106.9246341,,,,,,
Radar,1004,16367.8,1.1782,62089384,1,22,,,20.76235343,106.9247281,,,,,,
Radar,1004,16368.8,1.17843,62099359,1,90,,,20.76232562,106.9247508,,,,,,
Radar,1004,16373.9,1.17867,62109389,1,20,,,20.76231052,106.9248105,,,,,,
Radar,1004,16376.4,1.17918,62119369,1,17,,,20.76224976,106.9248633,,,,,,
Radar,1004,16381.1,1.18086,62129370,1,17,,,20.7620373,106.9250057,,,,,,
Radar,1004,16380.7,1.18074,62139384,1,20,,,20.76205226,106.9249949,,,,,,
Radar,1004,16379.8,1.1807,62149385,1,17,,,20.76205463,106.9249846,,,,,,
Radar,1004,16376.4,1.18142,62159408,1,17,,,20.76194504,106.9249974,,,,,,
Radar,1004,16376.2,1.18105,62169386,1,17,,,20.76199471,106.9249735,,,,,,
Radar,1004,16376.2,1.18053,62179403,1,20,,,20.76206546,106.9249424,,,,,,
Radar,1004,16371.8,1.17981,62189393,1,27,,,20.76214834,106.9248602,,,,,,
Radar,1004,16371.3,1.18051,62199376,1,20,,,20.76205144,106.9248977,,,,,,
Radar,1004,16368,1.17913,62209402,1,72,,,20.76222776,106.9247857,,,,,,
Radar,1004,16366.2,1.1788,62219402,1,22,,,20.76226642,106.9247499,,,,,,
Radar,1004,16369.6,1.17904,62229403,1,20,,,20.76224547,106.9247945,,,,,,
Radar,1004,16373.6,1.17891,62239389,1,17,,,20.76227687,106.9248222,,,,,,
Radar,1004,16375.2,1.17916,62249395,1,17,,,20.76224837,106.9248514,,,,,,
Radar,1004,16377.1,1.17996,62259408,1,17,,,20.76214608,106.9249163,,,,,,
Radar,1004,16377.8,1.18059,62269389,1,17,,,20.76206277,106.9249602,,,,,,
Radar,1004,16378,1.18034,62279402,1,22,,,20.76209746,106.924947,,,,,,
Radar,1004,16377.8,1.18035,62289409,1,20,,,20.76209542,106.9249459,,,,,,
Radar,1004,16370.9,1.1796,62299407,1,27,,,20.76217381,106.9248397,,,,,,
Radar,1004,16372.7,1.17951,62309416,1,17,,,20.76219221,106.9248502,,,,,,
Radar,1004,16374.3,1.1793,62319419,1,20,,,20.76222625,106.9248518,,,,,,
Radar,1005,17412.4,1.20072,61621003,1,15,,,20.76267413,106.935398,,,,,,
Radar,1005,17413.8,1.20036,61629304,1,17,,,20.76273117,106.9353888,,,,,,
Radar,1005,17414.5,1.20035,61639314,1,15,,,20.76273491,106.9353945,,,,,,
Radar,1005,17413.6,1.20035,61649316,1,2,,,20.76273198,106.9353864,,,,,,
Radar,1005,17413,1.20105,61659322,1,17,,,20.76262795,106.9354234,,,,,,
Radar,1005,17412.6,1.20103,61669332,1,15,,,20.76262957,106.9354186,,,,,,
Radar,1005,17412.4,1.20099,61679322,1,15,,,20.76263475,106.9354144,,,,,,
Radar,1005,17412.3,1.20108,61689324,1,15,,,20.7626213,106.9354189,,,,,,
Radar,1005,17412.3,1.20111,61699338,1,17,,,20.76261692,106.9354207,,,,,,
Radar,1005,17412.3,1.20111,61709311,1,17,,,20.76261692,106.9354207,,,,,,
Radar,1005,17412.4,1.20095,61719330,1,2,,,20.76264058,106.935412,,,,,,
Radar,1005,17413.6,1.20069,61729335,1,2,,,20.7626824,106.935407,,,,,,
Radar,1005,17413.3,1.20062,61739332,1,15,,,20.76269163,106.9354001,,,,,,
Radar,1005,17413.1,1.2006,61749337,1,15,,,20.7626939,106.9353971,,,,,,
Radar,1005,17412.8,1.2006,61759336,1,15,,,20.76269292,106.9353944,,,,,,
