,MMSI,type,length,beam,range,bearing,timestamp,lat,long,"lat, ","lon,",,
AIS,563158400,70,147,23,20253.8,1.66639,61624807,0.361084,1.86703,20.68858925,106.9729392,,
AIS,312261000,70,108,18,21165.2,2.26368,61624961,0.359267,1.86638,20.58448282,106.935697,,
AIS,440301000,70,148,24,21410.6,1.6246,61624993,0.361207,1.86724,20.69563663,106.9849713,,
AIS,574000000,52,28,13,24841.9,5.62732,61626114,0.364479,1.86111,20.88310842,106.6337482,,
AIS,574703151,200,10,6,1867.06,0.574852,61626203,0.361636,1.86382,20.72021652,106.7890198,,
AIS,574565012,30,26,6,36401.8,1.71736,61626204,0.360549,1.86969,20.65793601,107.125346,,
AIS,477548900,71,172,28,13959.1,0.0862009,61626407,0.363573,1.86385,20.83119844,106.7907386,,
AIS,574014575,7,37,10,16988.9,0.878424,61626430,0.363091,1.86585,20.80358188,106.9053302,,
AIS,574912255,0,0,0,34442.9,5.539,61626458,0.365364,1.85973,20.93381519,106.55468,,
AIS,440301000,70,148,24,21413.6,1.62415,61627260,0.361208,1.86724,20.69569393,106.9849713,,
AIS,352003587,70,120,22,50255.7,2.15609,61627284,0.357024,1.87067,20.45596838,107.1814959,,
AIS,375637000,52,23,12,24748.3,5.6329,61627444,0.36448,1.86114,20.88316572,106.6354671,,
AIS,574905701,0,0,0,21557.3,2.37947,61627499,0.358941,1.86615,20.56580439,106.9225189,,
AIS,574014911,70,77,14,14525.1,0.00919009,61628037,0.36367,1.86367,20.83675614,106.7804254,,
AIS,413376430,82,103,16,10459.6,2.26501,61628084,0.360339,1.865,20.64590389,106.8566288,,
AIS,574012693,80,79,12,26137.2,4.04643,61628380,0.358853,1.86021,20.56076237,106.582182,,
AIS,574014734,70,79,14,41404,0.727171,61628465,0.366241,1.86828,20.98406358,107.0445589,,
AIS,574562437,30,26,6,17300.7,2.08548,61628568,0.360052,1.86618,20.62946001,106.9242378,,
AIS,574356000,70,125,18,27221.9,6.17335,61629603,0.365637,1.86315,20.94945693,106.7506316,,
AIS,574014442,0,0,0,14480.6,2.14438,61629869,0.360156,1.86569,20.63541877,106.8961629,,
AIS,574013714,70,71,11,18378.9,0.510164,61630005,0.363907,1.86516,20.85033524,106.8657961,,
AIS,574110869,0,0,0,28272.5,0.897364,61630297,0.364155,1.86736,20.86454459,106.9918468,,
AIS,574014686,70,77,12,26415.5,5.59656,61630698,0.364595,1.86084,20.88975473,106.6182783,,
AIS,574565733,30,26,6,3170.04,0.831948,61630789,0.361725,1.86405,20.72531584,106.8021978,,
AIS,574111524,65,86,13,40048,0.818981,61631096,0.365679,1.86857,20.95186336,107.0611747,,
AIS,574012836,55,34,8,16940.4,6.05248,61631792,0.363978,1.863,20.85440324,106.7420372,,
AIS,574003360,81,97,16,18924,1.64553,61632653,0.361166,1.86682,20.6932875,106.9609071,,
AIS,477547400,71,148,24,13924.5,0.35592,61632858,0.363438,1.86447,20.82346351,106.826262,,
AIS,512345678,30,28,24,3652.14,0.83984,61632954,0.361772,1.86411,20.72800875,106.8056355,,
AIS,353368000,74,267,35,20652.5,1.98799,61633146,0.360075,1.86682,20.63077781,106.9609071,,
AIS,377265000,0,0,0,24830,5.62597,61633310,0.364474,1.8611,20.88282194,106.6331753,,
AIS,574013334,70,79,13,24496.6,5.62812,61633557,0.364438,1.86115,20.88075929,106.63604,,
AIS,477833200,0,0,0,56578.2,1.16419,61633660,0.364889,1.87238,20.90659969,107.2794716,,
AIS,574400554,70,72,12,15646.7,0.656648,61633928,0.363335,1.86526,20.81756205,106.8715257,,
AIS,574191919,52,28,13,24777.9,5.6332,61633981,0.364485,1.86113,20.8834522,106.6348941,,
AIS,574006120,70,0,0,13255.3,2.18956,61634476,0.360182,1.86546,20.63690846,106.8829849,,
